Abdala Dartigues Rodrigo
Aceves Pastrana Patricia Elena
Alva y Alva Miguel
Álvarez López Jesús Emiliano
Armenta Mier Alejandro
Barón Ortiz Natalia Karina
Barrientos Pantoja Alicia
Basurto Román Alfredo
Caballero Pedraza Virgilio Dante
Calderón Torreblanca Fidel
Cancino Barffuson Sergio René
Cárdenas Mariscal María Antonia
Carrera Hernández Ana Leticia
Cañedo Jiménez Roberto Alejandro
Cervera García Rene
Chávez García María
Contreras Julián Maricela
Cuata Domínguez Blanca Margarita
Damián González Araceli
Esquivel Valdés Laura Beatriz
Falcón Venegas Sandra Luz (LICENCIA) (LICENCIA)
Fuentes Alonso Modesta
Galico Félix Díaz Sara Paola
García Chávez Héctor Javier
García Navarro Otniel
Godoy Ramos Ernestina
Gómez Álvarez Delfina
Guzmán Jacobo Roberto
Hernández Colín Norma Xochitl
Hernández Correa Guadalupe
Hernández Mirón Carlos
Hernández de la Piedra Ángel Antonio
Hurtado Arana Karen
Juárez Rodríguez Mario Ariel
Llerenas Morales Vidal
Lomelí Bolaños Carlos (LICENCIA) (LICENCIA)
Martínez Urincho Alberto
Mex Albornoz Mario David
Meza Guzmán Lucia Virginia
Molina Arias Renato Josafat
Montiel Reyes Ariadna
Nahle García Norma Rocío
Ojeda Anguiano Jerónimo Alejandro
Ramos Ramírez Blandina
Romero Tenorio Juan
Santiago Rodríguez Guillermo Rafael
Serrano Lora Jesús
Trejo Flores Mariana
Valencia Guzmán Jesús Salvador
Villa González Concepción
