Abdala Saad Antonio Tarek
Aguilar Robles David
Aguilar Yunes Marco Antonio
Aguirre Romero Andrés
Alcántara Rojas María Guadalupe
Alonso Que Erubiel Lorenzo
Alpizar Carrillo Lucely Del Perpetuo Socorro
Álvarez Ortiz Héctor Javier
Anaya Mota Claudia Edith
Anaya Orozco Alfredo
Arcos Velázquez Montserrat Alicia
Arellano Núñez Efrain
Arroyo Bello Erika Lorena
Balcázar Narro Rafael Arturo
Barragán Amador Carlos
Barranco Sánchez Marco Antonio
Barrientos Cano Laura Mitzi
Bañales Arambula Ramón
Bedolla López Pablo
Bejos Nicolás Alfredo
Benítez Tiburcio Mariana
Bernal Casique Iveth
Bojórquez Castillo Martha Julisa
Boone Godoy Ana María
Borunda Espinoza Brenda
Botello Santibáñez María Bárbara
Cabrera Ruiz José Hugo
Camargo Félix María Esther Guadalupe
Canales Najjar Tristán Manuel
Cardoso Estévez José Luis
Cardoso Guzmán Rubí Alejandra
Carvallo Delfín Jorge Alejandro
Castillo Martínez Edgar
Castro Ventura Fernando
Cavazos Balderas Juan Manuel
Cavazos Cavazos Juana Aurora
Chacón Morales Samuel Alexis
Chan Magaña Rafael
Chávez Acosta Rosa Guadalupe
Cházaro Montalvo Oswaldo Guillermo
Coheto Martínez Vitalico Cándido
Córdova Hernández José Del Pilar
Córdova Morán Hersilia Onfalia Adamina
Corella Platt Susana
Coronado Ayarzagoitia Pedro Luis
Covarrubias Anaya Martha Lorena
Cristopulos Ríos Héctor Ulises
Cruz Campos Victorino
Dávila Beaz Griselda
Dávila Flores Jorge Enrique
De León Maza Sofía Del Sagrario
Díaz Montoya Rocío
Domínguez Domínguez Cesar Alejandro
Elizondo García Pablo
Escobar Manjarrez Germán
Escobedo Villegas Francisco
Espinoza Meraz MaIdalia del Socorro
Esquivel Hernández Olga María
Estefan Chidiac Charbel Jorge
Félix Niebla Gloria Himelda
Fernández Márquez Julieta
Gaeta Esparza Hugo Daniel
Gamboa Martínez Alicia Guadalupe
Gamboa Miner Pablo
Gárate Valenzuela Paola Iveth
García Ayala Marco Antonio
García Barrón Óscr
García Portilla Ricardo David
Giorgana Jiménez Víctor Manuel
González Calderón Martha Hilda
González Rojas Aarón
González Salum Miguel Ángel
Guerra Urbiola Braulio Mario
Guerrero Aguilar Fabiola
Guerrero Coronado Delia
Guerrero Esquivel Araceli
Guevara Cobos Lui Alejandro
Guillén Vicente Mercedes Del Carmen
Gutiérrez Ramírez Virginia Nallely
Guzmán Lagunes Noemí Zoila
Guzmán Vázquez Laura Valeria
Hermosillo Arteaga Carlos Gerardo (DECESO) (LICENCIA)
Hernández Madrid María Gloria
Herrera Saynes Mayra
Hinojosa Ochoa Baltazar Manuel
Huicochea Alanís Arturo
Ibarra Hinojosa Ávaro
Ibarra Otero Próspero Manuel
Ibarra Rangel Miriam Dennis
Iriarte Mercado Carlos
Ixtlahuac Orihuela Juan Antonio
Jackson Ramírez Jesús Enrique
Jiménez Jiménez Flor Ángel
Juraidini Villaseñor Alejandro
Kuri Grajales Fidel
Lagos Hernández Erick Alejandro
Le Baron GonzálezAlex
Leyva García Leydi Fabiola
López Gutiérrez David Epifanio
López Velasco Edith Yolanda
Luna Canales Armando
Luna Munguía Alma Lilia
Madrigal Méndez Liliana Ivette
Majul González Salomón
Mata Quintero Mario Alberto
Maya Pineda María Isabel
Mazari Espín Roslina
Medrano Quezada Benjamín
Meléndez Ortega Juan Antonio
Melhem Salinas Edgardo
Méndez Bazán Virgilio Daniel
Mercado Ruiz David
Moctezuma Pereda Fernando Quetzalcóatl
Moguel Manzur Zacil Leonor
Mólgora Glover Arlet
Mondragón Orozco María Angélica
Montes Salas Dule María
Montoya Díaz Tomás Roberto
Mota Hernández Adolfo
Murrieta Gutiérrez Abel
Muñoz Guevara Josué
Muñoz Parra María Verónica
Muñoz Sánchez Rosalinda
Navarrete Pérez Fernando
Nazar Morales Julián
Nazario Morales Matias
Noble Monterrubi Pedro Luis
Ochoa Iñiguez Claudia Janeth
Orantes López Hernán De Jesús
Oropeza Olguin Nora Liliana
Orozco Sánchez Aldana José Luis
Ortiz Lanz Adriana del Pilar
Osorno Belmont Susana
Oyervides Valdez María Guadalupe
Pacheco Olivares Modesta Yolanda
Palomares Ramírez Elvia Graciela (LICENCIA) (LICENCIA)
Pérez González Hralia Noemí
Pichardo Lechuga José Ignacio
Pineda Apodaca Luis Alonso
Pinete Vargas María del Carmen
Plascencia Pacheco Laura Nereida
Plata Inzunza Evelio
Ponce Beltrán Esthela de Jesús
Quinto Guillén Carlos Federico
Quiñones Cornejo María De La Paz
Rafael Rubio Álvaro
Ramírez Nieto Rirdo
Ramírez Ocampo Gianni Raul
Ramírez Ponce Miguel Ángel
Real Salinas Dora Elena
Rentería Medina Flor Estela
Reyes Tellez Silvino
Rivera Carbajal Silvia
Rivera Sosa José Lorenzo
Rocha Aguilar Yulma
Rodríguez García Dalila
Rodríguez Hernánz Erika Araceli
Rodríguez Garza Jesús Gilberto
Rojas Luna Rosa Isela
Rojas Orozco Enrique
Rojas San Román Francisco Lauro (DECESO) (LICENCIA)
Romero Vega Esdras
Romo García Edgar
Rosales Reyes Salomón Fernando
Rosas Cuautle Fabiola
Ruíz Chávez Sara Latife
Ruíz Ledesma Marna Vanessa
Sáenz Soto José Luis
Salazar Espinosa Heidi
Salazar Muciño Pedro Alberto
Salinas Lozano Carmen
Sánchez Arredondo Nancy Guadalupe
Sánchez Coronel Cristina
Sánchez Isidoro David
Sánchez Sánchez Christian Joaquín
Sandoval Martínez María Soledad
Santillán Oceguea Francisco Javier
Sarabia Camacho Carlos
Saracho Navarro Francisco
Scherman Leaño María Esther de Jesús
Silva Ramos Alberto
Silva Tejeda Víctor Manuel
Sobreyra Santos María Monserrath
Sulub Caamal Miguel Ángel
Taja Ramírez Ricardo (LICENCIA) (LICENCIA)
Tamayo Morales Martha Sofía
Terrazas Porras Adriana
Tiscareño Agoitia Ruth Noemí
Torres Huitrón José Alfredo
Uriarte Zazueta Fernando
Valencia García Oscar
Vallejo Barragán Manuel
Vargas Rodríguez Federico Eugenio
Vázquez Guerrero Luis Felipe
Vélez Núñez Beatriz
Vidal Aguilar Liborio
Viggiano Austria Alma Carolina
Villa Ramírez Timoteo
Villagómez Guerrero Ramón
Viveros Córdoba Joaquina
Yerena Zambrano Rafael
Zapata Lucero Ana Georgina
Zepahua García Lillian
Zúñiga Mendoza JJesús
