Álvarez Angli Arturo
Álvarez López Jorge
Álvarez Piñones Rosa Alicia
Arévalo González José Antonio
Arzaluz Alonso Alma Lucia
Ávila Serna María
Bernardino Vargas Omar Noé
Canales Suárez Paloma
Canavati Tafich Jesús Ricardo
Celis Aguirre Juan Manuel
Chavarrias Barajas Eloisa
Corona Valdés Lorena
Couttolenc Buentello José Alberto
Cuenca Ayala Sharon María Teresa
Fernández del Valle Laisequilla Andrés
Flores Carranza Evelyng Soraya
Galindo Rosas Jose De Jesus
García Treviño Daniela
González Evia Edna
González Torres Sofía
Guevara Jiménez Yaret Adriana
Guirao Aguilar Leonardo Rafael
Herrera Borunda Javier Octavio
Limón García Lia
López Roblero Uberly
Machuca Sánchez Mario
Márquez Alvarado Cesáreo Jorge
Mendoza Amezcua Virgilio
Ochoa Rojas Cándido
Rodríguez Torres Samuel
Salazar Farías Emilio Enrique
Sandoval Rodríguez José Refugio
Sarur Torre Adriana
Sedas Castro Miguel Ángel
Sesma Suárez Jesús
Torres Rivas Francisco Alberto
Villalpando Barrios Georgina Paola
Villanueva Huerta Claudia
Zamora Morlet Enrique
