Álvarez Maynez Jorge
Cárdenas Gutiérrez Gustavo Adolfo
Chávez Ocegueda Juan
Corichi García Claudia Sofía
Delgadillo García Verónica
Flores Gómez Mirza
García González Salvador
Guerra Mota Moisés
Hauffen Torres Angie Dennisse
Martínez García Jonadab
Mercado Sánchez Ma. Victoria
Munguía González Luis Ernesto
Ochoa Avalos María Candelaria
Pérez Utrera Adán
Ralis Cumplido Germán Ernesto
Ramírez Nachis Rosa Alba
Rocha Ladrón de Guevara Dalia María
Sánchez Orozco Víctor Manuel
Tamez Guajardo Macedonio Salomón
Toledo Ibarra Marbella
